epoch,accuracy,loss,val_accuracy,val_loss
0,0.621464729309082,0.9058364629745483,0.7533858418464661,0.6150693297386169
1,0.7543030977249146,0.6298713684082031,0.7916535139083862,0.5426549315452576
2,0.7908201217651367,0.5486868619918823,0.8244094252586365,0.4721459448337555
3,0.8078299164772034,0.49726828932762146,0.8196850419044495,0.4934103488922119
4,0.8227472305297852,0.4596157968044281,0.8026771545410156,0.5165392160415649
5,0.8369895219802856,0.4322645962238312,0.8417322635650635,0.4363327622413635
6,0.8504218459129333,0.3945898413658142,0.744409441947937,0.6306636929512024
7,0.8643941879272461,0.36377882957458496,0.83937007188797,0.43817633390426636
8,0.872291624546051,0.34136509895324707,0.6688188910484314,1.299925446510315
9,0.8750590682029724,0.3255573809146881,0.7974802851676941,0.5618481040000916
