epoch,accuracy,loss,val_accuracy,val_loss
0,0.6354370713233948,0.9122068881988525,0.7119684815406799,0.7504544258117676
1,0.6801214814186096,0.7752295136451721,0.6971653699874878,0.7683535218238831
2,0.7024637460708618,0.7321105003356934,0.7059842348098755,0.7660567164421082
3,0.7349982857704163,0.6653884053230286,0.7659842371940613,0.636420488357544
4,0.7797502279281616,0.5595701932907104,0.8291338682174683,0.4856678545475006
5,0.8180897831916809,0.46614712476730347,0.8214173316955566,0.49243709444999695
6,0.8383395075798035,0.4128156900405884,0.8425197005271912,0.4355439245700836
7,0.858184278011322,0.36763399839401245,0.8472440838813782,0.4191523790359497
8,0.8728315830230713,0.33524465560913086,0.8629921078681946,0.3892732262611389
9,0.8832939863204956,0.30025526881217957,0.8598425388336182,0.42120397090911865
10,0.8938238024711609,0.2806205451488495,0.8615748286247253,0.38606467843055725
11,0.9059736728668213,0.24580277502536774,0.8327559232711792,0.5029371976852417
12,0.9127910733222961,0.23255707323551178,0.8447244167327881,0.47683602571487427
13,0.9233884811401367,0.20472754538059235,0.8615748286247253,0.423963338136673
14,0.9306783676147461,0.18633313477039337,0.8585826754570007,0.4234665334224701
