epoch,accuracy,loss,val_accuracy,val_loss
0,0.5948025584220886,0.9584215879440308,0.7217322587966919,0.7572831511497498
1,0.7230509519577026,0.6943027973175049,0.761732280254364,0.6268577575683594
2,0.7809652090072632,0.5680854916572571,0.7606298923492432,0.5898784399032593
3,0.8049949407577515,0.5179888010025024,0.7903937101364136,0.521809995174408
4,0.8226796984672546,0.46588167548179626,0.8229921460151672,0.44725969433784485
5,0.8447519540786743,0.4155886471271515,0.8337007761001587,0.4413706064224243
6,0.849341869354248,0.3911789059638977,0.8344882130622864,0.44076937437057495
7,0.8657441735267639,0.362417072057724,0.8518110513687134,0.39150890707969666
8,0.8732365965843201,0.33105581998825073,0.8507086634635925,0.3915504217147827
9,0.8866013884544373,0.30615341663360596,0.855275571346283,0.4005850553512573
10,0.8931488394737244,0.29075732827186584,0.8486614227294922,0.418573796749115
11,0.9053661823272705,0.2609134912490845,0.8538582921028137,0.40043967962265015
