epoch,accuracy,loss,val_accuracy,val_loss
0,0.5662504434585571,1.0031465291976929,0.6540157198905945,0.8677685856819153
1,0.6878163814544678,0.7639138698577881,0.7433071136474609,0.6420343518257141
2,0.7486331462860107,0.6430796384811401,0.7705512046813965,0.5823878645896912
3,0.7794802784919739,0.5700353980064392,0.8211023807525635,0.4889708161354065
4,0.8017549514770508,0.5238569378852844,0.7806299328804016,0.5402651429176331
5,0.8131623268127441,0.4957282543182373,0.8089763522148132,0.512073814868927
6,0.82483971118927,0.46917229890823364,0.8280314803123474,0.460655152797699
7,0.8318595886230469,0.44358882308006287,0.850551187992096,0.41181668639183044
8,0.8400269746780396,0.4298127293586731,0.8278740048408508,0.44395849108695984
9,0.8467094302177429,0.411604642868042,0.8340157270431519,0.44087857007980347
10,0.848936915397644,0.39905649423599243,0.8374803066253662,0.4304105043411255
11,0.8564968109130859,0.3920411169528961,0.8472440838813782,0.40789127349853516
12,0.857239305973053,0.38160067796707153,0.8341732025146484,0.4466242790222168
13,0.8637866973876953,0.37492311000823975,0.8480315208435059,0.40968143939971924
14,0.8713465929031372,0.349394828081131,0.8521260023117065,0.4083705544471741
15,0.8723590970039368,0.3464958965778351,0.8018897771835327,0.49729669094085693
